TABLE,Region roc_lud,Group 1 Raw,MEM_UTIL_GILGAMESH,2
Region Info,GPU 0,
RDTSC Runtime [s],1.401105,
call count,1,
Event,Counter,GPU 0
ROCP_MemUnitBusy,ROCM0,55.4695
RSMI_POWER_AVE[0],ROCM1,66000000
TABLE,Region roc_lud,Group 1 Metric,MEM_UTIL_GILGAMESH,2
Metric,GPU 0,
Memory utilization,55.4695,
Average Power,66,
