TABLE,Region lud_cuda,Group 1 Raw,FLOPS_SP,3
Region Info,GPU 0,
RDTSC Runtime [s],0.004078,
call count,1,
Event,Counter,GPU 0
SMSP_SASS_THREAD_INST_EXECUTED_OP_FADD_PRED_ON_SUM,GPU0,158720
SMSP_SASS_THREAD_INST_EXECUTED_OP_FMUL_PRED_ON_SUM,GPU1,16320
SMSP_SASS_THREAD_INST_EXECUTED_OP_FFMA_PRED_ON_SUM,GPU2,2779840
TABLE,Region lud_cuda,Group 1 Metric,FLOPS_SP,2
Metric,GPU 0,
Runtime (RDTSC) [s],0.0041,
SP [MFLOP/s],1406.1931,
